Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Arable land (hectares),AG.LND.ARBL.HA,Afghanistan,AFG,7910000,7683000,7790000,7785000,7771000,7765000,7729000,7699000,7794000,7788000,7829000,..
Arable land (hectares),AG.LND.ARBL.HA,Albania,ALB,579000,578000,619100,617100,615600,615100,620300,612000,611346,610000,599600,..
Arable land (hectares),AG.LND.ARBL.HA,Algeria,DZA,7081000,7662000,7506500,7496200,7469400,7462100,7404200,7470807.1,7505017,7505017,7505017,..
Arable land (hectares),AG.LND.ARBL.HA,American Samoa,ASM,1000,2540,3510,3460,3410,3360,3310,3260,3190,3190,3190,..
Arable land (hectares),AG.LND.ARBL.HA,Andorra,AND,1000,1000,760,810,800,810,820,820,830,800,720,..
Arable land (hectares),AG.LND.ARBL.HA,Angola,AGO,2900000,3000000,4700000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000,..
Arable land (hectares),AG.LND.ARBL.HA,Antigua and Barbuda,ATG,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,..
Arable land (hectares),AG.LND.ARBL.HA,Argentina,ARG,26575000,27640000,39622900,39391300,38039700,36688100,35336500,33984900,32632759.7,32632759.7,32632759.7,..
Arable land (hectares),AG.LND.ARBL.HA,Armenia,ARM,..,450000,448400,448200,447500,446700,446400,446000,445600,444800,444000,..
Arable land (hectares),AG.LND.ARBL.HA,Aruba,ABW,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,..
Arable land (hectares),AG.LND.ARBL.HA,Australia,AUS,16956000,23473000,31637400,31220800,31960300,31090700,30057000,30752000,30974000,30573000,30644000,..
Arable land (hectares),AG.LND.ARBL.HA,Austria,AUT,1426000,1399000,1355100,1353900,1351700,1346100,1344490,1328940,1327150,1325530,1321080,..
Arable land (hectares),AG.LND.ARBL.HA,Azerbaijan,AZE,..,1825600,1896800,1925300,1926500,1937700,1999000,2094500,2097900,2096000,2084300,..
Arable land (hectares),AG.LND.ARBL.HA,"Bahamas, The",BHS,8000,7000,8000,8000,8000,8000,8000,8000,8000,8000,8000,..
Arable land (hectares),AG.LND.ARBL.HA,Bahrain,BHR,2000,2000,1600,1600,1600,1600,1600,1600,1600,1600,1600,..
Arable land (hectares),AG.LND.ARBL.HA,Bangladesh,BGD,9456000,8350000,7670000,7678000,7669000,7732240,7764210,7757330,7772300,7967000,8000000,..
Arable land (hectares),AG.LND.ARBL.HA,Barbados,BRB,16000,15000,10000,9500,9000,8000,7000,7000,7000,7000,7000,..
Arable land (hectares),AG.LND.ARBL.HA,Belarus,BLR,..,6133000,5522000,5559700,5662100,5677400,5683800,5727000,5712000,5713000,5660000,..
Arable land (hectares),AG.LND.ARBL.HA,Belgium,BEL,..,862000,803000,816000,817000,829500,849400,836000,850000,857286,864876.6,..
Arable land (hectares),AG.LND.ARBL.HA,Belize,BLZ,52000,64000,78000,78000,78000,88000,88000,90000,90000,90000,90000,..
Arable land (hectares),AG.LND.ARBL.HA,Benin,BEN,1615000,2380000,2600000,2700000,2700000,2700000,2800000,2800000,2800000,2800000,2800000,..
Arable land (hectares),AG.LND.ARBL.HA,Bermuda,BMU,300,400,300,300,300,300,300,300,300,300,300,..
Arable land (hectares),AG.LND.ARBL.HA,Bhutan,BTN,135000,154000,100200,100200,100200,100200,100000,94500,94000,94000,94000,..
Arable land (hectares),AG.LND.ARBL.HA,Bolivia,BOL,2100000,3144000,4422000,4506000,4469000,4416000,4438000,4241000,4480000,4540000,4540000,..
Arable land (hectares),AG.LND.ARBL.HA,Bosnia and Herzegovina,BIH,..,1000000,1003000,1009000,1006000,1022000,1026000,1060000,1029000,1015000,1015000,..
Arable land (hectares),AG.LND.ARBL.HA,Botswana,BWA,420000,350000,285000,280000,402000,259600,259600,259600,259600,260000,260000,..
Arable land (hectares),AG.LND.ARBL.HA,Brazil,BRA,47340000,45448000,52650000,53272000,53895000,54518000,55140000,55762000,55762000,55762000,55762000,..
Arable land (hectares),AG.LND.ARBL.HA,British Virgin Islands,VGB,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,..
Arable land (hectares),AG.LND.ARBL.HA,Brunei Darussalam,BRN,2000,2000,4000,4000,4000,4000,4000,4000,4000,4000,4000,..
Arable land (hectares),AG.LND.ARBL.HA,Bulgaria,BGR,3856000,3526000,3317000,3479000,3486000,3509700,3496000,3489080,3478000,3476000,3492000,..
